	30
	0	2	5	0	2	5	0	2	5	0	2	5	2	0	-2.479600
	0	2	5	0	2	5	0	2	3	0	2	3	2	0	-3.569300
	0	2	5	0	2	5	1	0	1	1	0	1	2	0	-1.157200
	0	2	3	0	2	3	0	2	3	0	2	3	2	0	-1.505000
	0	2	3	0	2	3	1	0	1	1	0	1	2	0	-0.983400
	1	0	1	1	0	1	1	0	1	1	0	1	2	0	-1.846100
	0	2	3	0	2	5	0	2	3	0	2	5	2	2	0.251000
	0	2	3	0	2	5	1	0	1	0	2	3	2	2	0.073600
	1	0	1	0	2	3	1	0	1	0	2	3	2	2	0.310500
	0	2	5	0	2	5	0	2	5	0	2	5	2	4	-0.989900
	0	2	5	0	2	5	0	2	3	0	2	5	2	4	0.309200
	0	2	5	0	2	5	1	0	1	0	2	5	2	4	-0.774600
	0	2	5	0	2	5	0	2	3	0	2	3	2	4	-1.133500
	0	2	5	0	2	5	1	0	1	0	2	3	2	4	-0.890100
	0	2	3	0	2	5	0	2	3	0	2	5	2	4	0.224800
	0	2	3	0	2	5	1	0	1	0	2	5	2	4	-0.102200
	0	2	3	0	2	5	0	2	3	0	2	3	2	4	0.520800
	0	2	3	0	2	5	1	0	1	0	2	3	2	4	0.281100
	1	0	1	0	2	5	1	0	1	0	2	5	2	4	-0.903900
	1	0	1	0	2	5	0	2	3	0	2	3	2	4	-0.554200
	1	0	1	0	2	5	1	0	1	0	2	3	2	4	-1.707200
	0	2	3	0	2	3	0	2	3	0	2	3	2	4	-0.157000
	0	2	3	0	2	3	1	0	1	0	2	3	2	4	-0.136800
	1	0	1	0	2	3	1	0	1	0	2	3	2	4	-0.253300
	0	2	3	0	2	5	0	2	3	0	2	5	2	6	0.477700
	0	2	3	0	2	5	1	0	1	0	2	5	2	6	0.450700
	1	0	1	0	2	5	1	0	1	0	2	5	2	6	0.647000
	0	2	5	0	2	5	0	2	5	0	2	5	2	8	-0.213600
	0	2	5	0	2	5	0	2	3	0	2	5	2	8	1.315500
	0	2	3	0	2	5	0	2	3	0	2	5	2	8	-1.250900
