    94
    0   3   7	0   3   7	0   3   7	0   3   7	2	0	-1.92
    0   3   7	0   3   7	0   3   7	0   3   7	2	2	-1.09
    0   3   7	0   3   7	0   3   7	0   3   7	2	4	-0.19
    0   3   7	0   3   7	0   3   7	0   3   7	2	6	0.18
    0   3   7	0   3   7	0   3   7	1   1   3	2	2	-0.502
    0   3   7	0   3   7	0   3   7	1   1   3	2	4	-0.307
    0   3   7	0   3   7	0   3   7	0   3   5	2	2	0
    0   3   7	0   3   7	0   3   7	0   3   5	2	4	-0.406
    0   3   7	0   3   7	0   3   7	0   3   5	2	6	-0.716
    0   3   7	0   3   7	0   3   7	1   1   1	2	4	-0.293
    0   3   7	0   3   7	1   1   3	1   1   3	2	0	-0.783
    0   3   7	0   3   7	1   1   3	1   1   3	2	2	-0.269
    0   3   7	0   3   7	1   1   3	0   3   5	2	2	-0.285
    0   3   7	0   3   7	1   1   3	0   3   5	2	4	-0.305
    0   3   7	0   3   7	1   1   3	1   1   1	2	2	-0.25
    0   3   7	0   3   7	0   3   5	0   3   5	2	0	-2.788
    0   3   7	0   3   7	0   3   5	0   3   5	2	2	-0.638
    0   3   7	0   3   7	0   3   5	0   3   5	2	4	-0.4
    0   3   7	0   3   7	0   3   5	1   1   1	2	2	-0.47
    0   3   7	0   3   7	1   1   1	1   1   1	2	0	-0.714
    0   3   7	1   1   3	0   3   7	1   1   3	2	2	-0.611
    0   3   7	1   1   3	0   3   7	1   1   3	2	3	0.223
    0   3   7	1   1   3	0   3   7	1   1   3	2	4	0.203
    0   3   7	1   1   3	0   3   7	1   1   3	2	5	0.395
    0   3   7	1   1   3	0   3   7	0   3   5	2	2	0.014
    0   3   7	1   1   3	0   3   7	0   3   5	2	3	-0.118
    0   3   7	1   1   3	0   3   7	0   3   5	2	4	-0.114
    0   3   7	1   1   3	0   3   7	0   3   5	2	5	-0.01
    0   3   7	1   1   3	0   3   7	1   1   1	2	3	0.078
    0   3   7	1   1   3	0   3   7	1   1   1	2	4	-0.502
    0   3   7	1   1   3	1   1   3	1   1   3	2	2	-0.325
    0   3   7	1   1   3	1   1   3	0   3   5	2	2	-0.402
    0   3   7	1   1   3	1   1   3	0   3   5	2	3	0.026
    0   3   7	1   1   3	1   1   3	0   3   5	2	4	-0.619
    0   3   7	1   1   3	1   1   3	1   1   1	2	2	-0.319
    0   3   7	1   1   3	0   3   5	0   3   5	2	2	-0.446
    0   3   7	1   1   3	0   3   5	0   3   5	2	4	-0.156
    0   3   7	1   1   3	0   3   5	1   1   1	2	2	-0.966
    0   3   7	1   1   3	0   3   5	1   1   1	2	3	-0.059
    0   3   7	0   3   5	0   3   7	0   3   5	2	1	-0.087
    0   3   7	0   3   5	0   3   7	0   3   5	2	2	0.104
    0   3   7	0   3   5	0   3   7	0   3   5	2	3	0.222
    0   3   7	0   3   5	0   3   7	0   3   5	2	4	0.231
    0   3   7	0   3   5	0   3   7	0   3   5	2	5	0.356
    0   3   7	0   3   5	0   3   7	0   3   5	2	6	-0.694
    0   3   7	0   3   5	0   3   7	1   1   1	2	3	-0.012
    0   3   7	0   3   5	0   3   7	1   1   1	2	4	-0.093
    0   3   7	0   3   5	1   1   3	1   1   3	2	2	-0.018
    0   3   7	0   3   5	1   1   3	0   3   5	2	1	-0.035
    0   3   7	0   3   5	1   1   3	0   3   5	2	2	-0.295
    0   3   7	0   3   5	1   1   3	0   3   5	2	3	-0.132
    0   3   7	0   3   5	1   1   3	0   3   5	2	4	-0.493
    0   3   7	0   3   5	1   1   3	1   1   1	2	1	-0.079
    0   3   7	0   3   5	1   1   3	1   1   1	2	2	-0.15
    0   3   7	0   3   5	0   3   5	0   3   5	2	2	-0.631
    0   3   7	0   3   5	0   3   5	0   3   5	2	4	-0.468
    0   3   7	0   3   5	0   3   5	1   1   1	2	2	-0.342
    0   3   7	0   3   5	0   3   5	1   1   1	2	3	0.08
    0   3   7	1   1   1	0   3   7	1   1   1	2	3	0.279
    0   3   7	1   1   1	0   3   7	1   1   1	2	4	-0.024
    0   3   7	1   1   1	1   1   3	0   3   5	2	3	0.14
    0   3   7	1   1   1	1   1   3	0   3   5	2	4	-0.531
    0   3   7	1   1   1	0   3   5	0   3   5	2	4	-0.252
    0   3   7	1   1   1	0   3   5	1   1   1	2	3	-0.078
    1   1   3	1   1   3	1   1   3	1   1   3	2	0	-0.806
    1   1   3	1   1   3	1   1   3	1   1   3	2	2	0.02
    1   1   3	1   1   3	1   1   3	0   3   5	2	2	-0.068
    1   1   3	1   1   3	1   1   3	1   1   1	2	2	-0.601
    1   1   3	1   1   3	0   3   5	0   3   5	2	0	-0.777
    1   1   3	1   1   3	0   3   5	0   3   5	2	2	-0.128
    1   1   3	1   1   3	0   3   5	1   1   1	2	2	-0.047
    1   1   3	1   1   3	1   1   1	1   1   1	2	0	-1.465
    1   1   3	0   3   5	1   1   3	0   3   5	2	1	-0.032
    1   1   3	0   3   5	1   1   3	0   3   5	2	2	0.215
    1   1   3	0   3   5	1   1   3	0   3   5	2	3	0.12
    1   1   3	0   3   5	1   1   3	0   3   5	2	4	-0.243
    1   1   3	0   3   5	1   1   3	1   1   1	2	1	-0.058
    1   1   3	0   3   5	1   1   3	1   1   1	2	2	-0.159
    1   1   3	0   3   5	0   3   5	0   3   5	2	2	-0.023
    1   1   3	0   3   5	0   3   5	0   3   5	2	4	-0.102
    1   1   3	0   3   5	0   3   5	1   1   1	2	2	-0.389
